epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.14044,1.88268,4.07832,1.70341,0.00437,1,0.19531,0.09818,2.00638,3.56364,1.76935,6.666e-05,6.666e-05,6.666e-05
2,9.50851,1.46832,3.79423,1.39198,0.00412,1,0.5183,0.35157,1.11444,3.3514,1.20456,0.000143,0.000143,0.000143
3,12.304,1.21509,3.09609,1.18824,0.00367,1,0.50584,0.39119,0.8236,3.18316,1.01615,0.0002178,0.0002178,0.0002178
4,14.8066,1.11562,2.39015,1.12829,0.00354,1,0.67863,0.54197,0.82955,2.95962,0.99006,0.000291061,0.000291061,0.000291061
5,18.3421,1.03817,2.11604,1.09422,0.2547,1,0.59256,0.4937,0.72204,2.77081,0.93039,0.000362781,0.000362781,0.000362781
6,20.401,1.01996,1.91489,1.0978,0.76317,0.2,0.67707,0.52786,0.86761,2.52586,1.06486,0.000432962,0.000432962,0.000432962
7,22.5695,1.0426,1.72087,1.09086,0.89412,0.3,0.78077,0.60134,0.89311,2.73086,1.0919,0.000501603,0.000501603,0.000501603
8,24.4741,0.99429,1.63085,1.05838,0.88214,0.6,0.8824,0.71379,0.78598,2.71455,1.02634,0.000568704,0.000568704,0.000568704
9,26.7237,0.99338,1.55485,1.07346,0.83713,0.76995,0.995,0.81714,0.81979,1.98343,1.04933,0.000634265,0.000634265,0.000634265
10,29.0442,0.99517,1.52986,1.07786,0.93863,0.96362,0.995,0.76843,0.84146,1.64479,1.06751,0.000698287,0.000698287,0.000698287
11,32.0754,0.94678,1.31148,1.0953,0.87368,0.92939,0.995,0.71192,1.10076,1.45866,1.3129,0.000760768,0.000760768,0.000760768
12,34.7794,0.93869,1.30046,1.02413,0.90019,0.77836,0.995,0.71154,0.99837,1.50815,1.09802,0.00082171,0.00082171,0.00082171
13,36.8668,0.90234,1.40581,1.03908,0.78914,0.8,0.995,0.74416,0.98943,1.32917,1.11903,0.000881112,0.000881112,0.000881112
14,39.0038,0.92373,1.29378,1.04012,0.82575,0.9775,0.995,0.78117,0.93557,1.14662,1.07697,0.000938974,0.000938974,0.000938974
15,41.0356,0.92069,1.33024,1.04559,0.85327,1,0.995,0.76193,0.86879,0.91815,1.03386,0.000957015,0.000957015,0.000957015
16,43.1815,0.9237,1.38681,1.01129,0.898,0.93782,0.9785,0.74144,0.92434,1.01874,1.10145,0.000946016,0.000946016,0.000946016
17,46.9877,0.85254,1.23055,0.98071,0.78626,0.88789,0.94,0.76266,0.86302,1.33467,1.04118,0.000935018,0.000935018,0.000935018
18,49.3866,0.84599,1.24012,0.98453,0.86481,0.79248,0.9268,0.73612,0.84826,1.39088,1.018,0.000924019,0.000924019,0.000924019
19,51.4653,0.8089,1.16149,0.99387,0.91006,0.73143,0.94314,0.70201,1.04061,1.45636,1.11369,0.00091302,0.00091302,0.00091302
20,53.434,0.86079,1.18831,1.00386,0.72302,0.79528,0.9116,0.74056,0.81501,2.17947,1.06348,0.000902021,0.000902021,0.000902021
21,55.7334,0.81426,1.08437,0.98524,0.7879,0.8,0.84142,0.63987,0.85438,2.2233,1.0852,0.000891022,0.000891022,0.000891022
22,57.764,0.85761,1.10737,1.02186,0.87775,0.8,0.8132,0.65439,0.84098,1.76906,0.95733,0.000880023,0.000880023,0.000880023
23,60.8955,0.8522,1.07534,0.98352,0.79123,0.87367,0.9171,0.7685,0.82418,1.77081,0.99081,0.000869024,0.000869024,0.000869024
24,63.5361,0.89711,1.10681,1.02594,0.87943,0.88703,0.995,0.77671,0.83843,1.40458,1.0225,0.000858025,0.000858025,0.000858025
25,65.6617,0.78251,1.05315,0.97959,0.91441,1,0.995,0.78889,0.83387,0.93793,1.01533,0.000847026,0.000847026,0.000847026
26,67.7492,0.84207,0.99246,0.99537,0.9743,1,0.995,0.77733,0.82374,0.72617,1.05915,0.000836027,0.000836027,0.000836027
27,69.8017,0.77659,0.97904,0.98423,0.97508,1,0.995,0.79994,0.81246,0.68278,1.05964,0.000825029,0.000825029,0.000825029
28,71.847,0.84641,1.00071,1.00283,0.96857,1,0.995,0.7949,0.79026,0.68595,1.03424,0.00081403,0.00081403,0.00081403
29,75.1808,0.75334,0.96877,0.9658,0.97011,1,0.995,0.79489,0.8035,0.66304,1.03005,0.000803031,0.000803031,0.000803031
30,77.909,0.83439,0.99441,0.98666,0.97432,1,0.995,0.82478,0.76393,0.76572,0.99758,0.000792032,0.000792032,0.000792032
31,79.9085,0.74933,0.96321,0.95728,0.97701,1,0.995,0.8199,0.82006,0.66028,1.00666,0.000781033,0.000781033,0.000781033
32,81.9623,0.76605,0.92369,0.98249,0.96079,0.99093,0.995,0.83356,0.76811,0.57507,0.97971,0.000770034,0.000770034,0.000770034
33,84.0455,0.74262,0.89837,0.94293,0.95474,0.98839,0.995,0.8346,0.71941,0.54869,0.95495,0.000759035,0.000759035,0.000759035
34,86.1215,0.73049,0.90375,0.96763,0.92832,1,0.995,0.84355,0.68733,0.5215,0.92696,0.000748036,0.000748036,0.000748036
35,88.8671,0.74811,0.82697,0.93344,0.94544,1,0.995,0.8346,0.75328,0.53804,0.94754,0.000737037,0.000737037,0.000737037
36,92.2201,0.70203,0.81718,0.9496,0.96748,1,0.995,0.79882,0.78412,0.54945,0.98454,0.000726038,0.000726038,0.000726038
37,94.3904,0.70525,0.83918,0.94261,0.97321,1,0.995,0.81049,0.78381,0.56937,0.98978,0.00071504,0.00071504,0.00071504
38,96.5796,0.69617,0.85439,0.94608,0.98111,1,0.995,0.8442,0.74466,0.51821,0.97445,0.000704041,0.000704041,0.000704041
39,98.8011,0.74318,0.8646,0.96696,0.96935,1,0.995,0.82754,0.75129,0.53082,0.98692,0.000693042,0.000693042,0.000693042
40,100.764,0.67084,0.79475,0.93707,0.95726,1,0.995,0.79049,0.91462,0.53324,1.07433,0.000682043,0.000682043,0.000682043
41,103.382,0.7233,0.79738,0.9449,0.94865,1,0.995,0.82038,0.8477,0.51666,1.05913,0.000671044,0.000671044,0.000671044
42,106.531,0.67783,0.7482,0.93476,0.95894,1,0.995,0.82197,0.79054,0.5088,1.03479,0.000660045,0.000660045,0.000660045
43,108.646,0.6706,0.77271,0.92925,0.96512,1,0.995,0.80871,0.84501,0.51828,1.05517,0.000649046,0.000649046,0.000649046
44,110.759,0.75061,0.75194,0.93006,0.97531,1,0.995,0.81703,0.81227,0.48066,1.03411,0.000638047,0.000638047,0.000638047
45,112.616,0.65889,0.74523,0.91837,0.97228,1,0.995,0.78058,0.84183,0.47327,1.03212,0.000627048,0.000627048,0.000627048
46,114.661,0.70864,0.79435,0.95543,0.97598,1,0.995,0.78786,0.81568,0.45726,1.01804,0.000616049,0.000616049,0.000616049
47,117.069,0.68138,0.74425,0.93502,0.97136,1,0.995,0.79602,0.80371,0.44731,1.01437,0.000605051,0.000605051,0.000605051
48,120.445,0.6448,0.77607,0.92487,0.97022,1,0.995,0.81208,0.79638,0.42756,1.01154,0.000594052,0.000594052,0.000594052
